year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1953,137,87,Hyporthodus mystacinus,Misty grouper,601206,17.7013420096067,Hyporthodus_mystacinus-87
1953,137,87,Isacia conceptionis,Cabinza grunt,600397,0.892531811245617,Isacia_conceptionis-87
1953,137,87,Katsuwonus pelamis,Skipjack tuna,600107,0.724194449570972,Katsuwonus_pelamis-87
1953,137,87,Litopenaeus vannamei,Whiteleg shrimp,690440,979.553230341906,Litopenaeus_vannamei-87
1953,137,87,Lobotes pacificus,Pacific tripletail,660984,45.2043301471468,Lobotes_pacificus-87
1953,137,87,Loligo,Common squids,590010,5.55867024334216e-4,Loligo-87
1953,137,87,Lutjanidae,Snappers,400323,90.1941520965813,Lutjanidae-87
1953,137,87,Lutjanus,Snappers,500357,125.775004270918,Lutjanus-87
1953,137,87,Malacanthidae,Tilefishes,400308,303.169628940353,Malacanthidae-87
1953,137,87,Manta birostris,Giant manta,602061,20.1966866085241,Manta_birostris-87
1953,137,87,Marine fishes not identified,Marine fishes nei,100039,13717.0130749391,Marine_fishes_not_identified-87
1953,137,87,Miscellaneous aquatic invertebrates,Aquatic invertebrates,100077,36.06846963219,Miscellaneous_aquatic_invertebrates-87
1953,137,87,Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",100047,6.0785569865696,Miscellaneous_marine_crustaceans-87
1953,137,87,Mollusca,"Clams, seasnails, squids, octopuses",190195,0.0746895095824091,Mollusca-87
1953,137,87,Mugil,Grey mullets,500152,37.4706430788477,Mugil-87
1953,137,87,Mugil cephalus,Flathead grey mullet,600785,1.70789122266892,Mugil_cephalus-87
1953,137,87,Mugilidae,"Mullets, grey mullets",400359,37.4706430788477,Mugilidae-87
1953,137,87,Mycteroperca,"Scamps, gags",503028,212.110095092821,Mycteroperca-87
1953,137,87,Mycteroperca xenarcha,Broomtail grouper,603334,29.6897868797451,Mycteroperca_xenarcha-87
1953,137,87,Paralabrax,Sand basses,502364,161.744571920031,Paralabrax-87
1953,137,87,Paralabrax humeralis,Peruvian rock seabass,600352,32.6944018083755,Paralabrax_humeralis-87
1953,137,87,Paralonchurus peruanus,Peruvian banded croaker,600424,3.73286557254126,Paralonchurus_peruanus-87
1953,137,87,Peristediidae,"Armored searobins, gurnards",400581,3930.17392799812,Peristediidae-87
1953,137,87,Pleuronectiformes,Flatfishes,300061,0.0287628828006674,Pleuronectiformes-87
1953,137,87,Pomadasys,Grunters,500516,1063.85911317651,Pomadasys-87
1953,137,87,Prionace glauca,Blue shark,600898,46.86192,Prionace_glauca-87
1953,137,87,Rajiformes,Skates and rays,300014,450.93612879793,Rajiformes-87
1953,137,87,Sarda chiliensis,Eastern Pacific bonito,600113,629.008171462998,Sarda_chiliensis-87
1953,137,87,Sardinops sagax,Pacific sardine,601477,0.625807651191607,Sardinops_sagax-87
1953,137,87,Sciaenidae,"Drums, croakers",400331,2647.06563150187,Sciaenidae-87
1953,137,87,Scomber japonicus,Chub mackerel,600117,11.9971988124542,Scomber_japonicus-87
1953,137,87,Scomberomorus sierra,Pacific sierra,600136,717.860540166417,Scomberomorus_sierra-87
1953,137,87,Scombridae,"Mackerels, tunas, bonitos",400416,6169.98658246431,Scombridae-87
1953,137,87,Seriola,Amberjacks,500928,160.395254824117,Seriola-87
1953,137,87,Serranidae,"Basses, groupers, hinds",400289,1180.85607436634,Serranidae-87
1953,137,87,Sphyraena,"Barracudas, sennets",500372,461.578011947106,Sphyraena-87
1953,137,87,Sphyrna,Hammerhead sharks,500693,1.603905,Sphyrna-87
1953,137,87,Synodontidae,"Lizardfishes, sauries",400160,0.0460043484921327,Synodontidae-87
1953,137,87,Teuthida,Squids,390002,392.275578281813,Teuthida-87
1953,137,87,Thunnus,Tunas,501905,3.37778300662079,Thunnus-87
1953,137,87,Thunnus albacares,Yellowfin tuna,600143,0.438152935371225,Thunnus_albacares-87
1953,137,87,Trachurus murphyi,Chilean jack mackerel,600367,0.132077227705876,Trachurus_murphyi-87
1953,137,87,Triakidae,Houndsharks,400488,30.1015427144316,Triakidae-87
1953,137,87,Trichiurus,Hairtails,500114,1190.7674665474,Trichiurus-87
1954,137,87,Acanthocybium solandri,Wahoo,600089,5.65819243482745,Acanthocybium_solandri-87
1954,137,87,Alopias,Thresher sharks,500639,12.7483843802074,Alopias-87
1954,137,87,Argopecten purpuratus,Peruvian calico scallop,690303,1.64007464058305,Argopecten_purpuratus-87
1954,137,87,Bothidae,Lefteye flounders,400439,329.918306106345,Bothidae-87
1954,137,87,Bramidae,Pomfrets,400319,1173.49981358152,Bramidae-87
1954,137,87,Carangidae,"Jacks, pompanos",400314,15338.0191259856,Carangidae-87
1954,137,87,Carcharhinus falciformis,Silky shark,600868,18.1849707452041,Carcharhinus_falciformis-87
1954,137,87,Carcharhinus longimanus,Oceanic whitetip shark,600875,1.30125063081615,Carcharhinus_longimanus-87
1954,137,87,Chaetodipterus zonatus,Pacific spadefish,603599,71.3314487827836,Chaetodipterus_zonatus-87
1954,137,87,Chondrichthyes,"Sharks, rays, chimaeras",200538,1.20874,Chondrichthyes-87
1954,137,87,Coryphaena hippurus,Common dolphinfish,600006,1.15623068763663,Coryphaena_hippurus-87
1954,137,87,Crassostrea gigas,Pacific cupped oyster,690283,2.5252433707836,Crassostrea_gigas-87
1954,137,87,Cynoscion analis,Peruvian weakfish,600403,1.97928206485694,Cynoscion_analis-87
